NEIGHBORHOOD,BOROUGH,2015,2016,2017,BUILDING_CLASS_CATEGORY,Avg,Diff,Variance,Variance_prediction,Variance_Test
Fordham,BRONX,354269.3333333333,468410.0,510947.0833333333,Condo_Walkup,411339.6666666666,99607.41666666669,0.1949466391252193,0.2436768358204707,0.08325144564057103
Highbridge,BRONX,402501.3333333333,459524.3333333333,498688.4957469431,Condo_Walkup,431012.8333333333,67675.6624136098,0.1357072861932461,0.12409136113938109,0.07853432101927502
Hunts Point,BRONX,404419.0,363637.0,457708.61111111107,Condo_Walkup,384028.0,73680.61111111107,0.16097711365370124,-0.11215030373696847,0.20552729144148593
Kingsbridge,BRONX,490303.0,622730.0,592131.0185185185,Condo_Walkup,556516.5,35614.51851851854,0.0601463483666575,0.21265556501212404,-0.0516760320343267
Longwood,BRONX,383384.3333333333,428478.3333333333,592341.9842562916,Condo_Walkup,405931.3333333333,186410.65092295833,0.31470106100448736,0.10524219427664565,0.2766369011116028
Melrose,BRONX,447575.6666666667,396766.0,455764.95614035084,Condo_Walkup,422170.8333333334,33594.12280701747,0.0737093151950724,-0.12805952795014364,0.12945040057485765
Morris Heights,BRONX,402501.3333333333,459524.3333333333,498688.4957469431,Condo_Walkup,431012.8333333333,67675.6624136098,0.1357072861932461,0.12409136113938109,0.07853432101927502
Morris Park,BRONX,438114.0,499950.0,520894.1675657676,Condo_Walkup,469032.0,51862.167565767595,0.0995637325104423,0.12368436843684369,0.04020810535015869
Morrisania,BRONX,383384.3333333333,428478.3333333333,592341.9842562916,Condo_Walkup,405931.3333333333,186410.65092295833,0.31470106100448736,0.10524219427664565,0.2766369011116028
Mott Haven,BRONX,477467.0,512816.0,576242.7593582888,Condo_Walkup,495141.5,81101.25935828884,0.14074148098382047,0.06893115659417803,0.11006951207321315
Mount Eden,BRONX,553644.3333333334,539859.0,633367.7136363637,Condo_Walkup,546751.6666666667,86616.046969697,0.13675475573645357,-0.025535062550283264,0.14763732287441797
Mount Hope,BRONX,553644.3333333334,539859.0,633367.7136363637,Condo_Walkup,546751.6666666667,86616.046969697,0.13675475573645357,-0.025535062550283264,0.14763732287441797
Norwood,BRONX,466605.6666666667,415073.0,500736.2754385965,Condo_Walkup,440839.3333333334,59896.94210526312,0.11961774100108725,-0.12415326139418051,0.17107463477369153
Parkchester,BRONX,408334.6666666667,459591.6666666667,501653.50244877563,Condo_Walkup,433963.1666666667,67690.33578210894,0.13493444270135616,0.11152726151837682,0.08384639113808225
Pelham Bay,BRONX,495281.3333333333,493564.3333333333,549477.5802816902,Condo_Walkup,494422.8333333333,55054.746948356915,0.10019471025575429,-0.003478776491818358,0.1017571033920855
Pelham Gardens,BRONX,530056.3333333334,534368.3333333334,590605.8366013071,Condo_Walkup,532212.3333333334,58393.50326797378,0.09887051506975328,0.008069340436215967,0.09522002625574681
Port Morris,BRONX,477467.0,512816.0,576242.7593582888,Condo_Walkup,495141.5,81101.25935828884,0.14074148098382047,0.06893115659417803,0.11006951207321315
Riverdale,BRONX,856830.6666666666,958086.0,917599.2585034013,Condo_Walkup,907458.3333333333,10140.925170068047,0.011051583876176876,0.10568501505432015,-0.04412246535882376
Schuylerville,BRONX,495281.3333333333,493564.3333333333,549477.5802816902,Condo_Walkup,494422.8333333333,55054.746948356915,0.10019471025575429,-0.003478776491818358,0.1017571033920855
Soundview,BRONX,398942.0,430361.3333333333,452223.52850142,Condo_Walkup,414651.6666666666,37571.86183475336,0.08308250116763968,0.07300686864681147,0.048343780874324914
