PCT,CRIME,2013,2014,2015,2016,2017,Weight
34,MISDEMEANOR SEX CRIMES (4),25,37,46,43,45,8
34,MISDEMEANOR DANGEROUS DRUGS  (1),859,1288,707,653,659,8
34,MISDEMEANOR DANGEROUS WEAPONS (5),88,90,82,95,86,8
34,PETIT LARCENY,859,770,761,815,903,8
34,ASSAULT 3 AND RELATED OFFENSES,619,599,522,558,500,8
34,INTOXICATED & IMPAIRED DRIVING,212,202,131,137,160,8
34,VEHICLE AND TRAFFIC LAWS,55,57,55,64,54,8
34,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,369,497,615,492,605,8
34,CRIMINAL TRESPASS,347,490,205,150,103,8
34,UNAUTHORIZED USE OF A VEHICLE,10,15,13,15,15,8
34,OFFENSES AGAINST THE PERSON (7),21,22,29,28,37,8
34,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),100,97,93,117,127,8
34,ADMINISTRATIVE CODE (6),15,5,5,2,1,8
34,FRAUDS (3),56,59,46,73,90,8
34,AGGRAVATED HARASSMENT 2,334,206,173,178,230,8
34,OTHER MISDEMEANORS (8),488,471,474,497,321,8
34,TOTAL MISDEMEANOR OFFENSES,4480,4918,3963,3927,3955,8
