DBN,Weight_2015,Weight_2016,Weight_2017,Variance,Latitude,Longitude,Coordinates
05M123,2.2,2.25,2.3,0.0326086956521738,40.820216,-73.944551,"[40.820216,-73.944551]"
03M199,2.6,2.55,2.5,-0.030000000000000072,40.777603,-73.984423,"[40.777603,-73.984423]"
26Q430,2.15,2.15,2.2,0.022727272727272846,40.740875,-73.795049,"[40.740875,-73.795049]"
05M362,2.6,2.6,2.5,-0.040000000000000036,40.810793,-73.955722,"[40.810793,-73.955722]"
32K347,2.45,2.6,2.7,0.06481481481481474,40.70081,-73.927938,"[40.70081,-73.927938]"
02M422,1.9,1.9,2.4,0.20833333333333334,40.743407,-74.00254,"[40.743407,-74.00254]"
32K123,2.7,2.6,2.6,-0.019230769230769332,40.704076,-73.922388,"[40.704076,-73.922388]"
12X242,2.4,2.75,2.65,0.02830188679245273,40.832508,-73.878191,"[40.832508,-73.878191]"
84M709,2.066666666666667,2.230769230769231,1.9375,-0.10901571546732855,40.821208,-73.941111,"[40.821208,-73.941111]"
11X455,2.25,2.25,2.35,0.042553191489361736,40.874035,-73.831669,"[40.874035,-73.831669]"
07X162,2.5,2.55,2.4615384615384617,-0.02578124999999991,40.814857,-73.912038,"[40.814857,-73.912038]"
22K251,2.1,2.3,2.2,0.0,40.63195,-73.923894,"[40.63195,-73.923894]"
16K309,2.3,2.1,2.65,0.1698113207547169,40.6881,-73.924422,"[40.6881,-73.924422]"
08X305,2.4,2.45,2.3076923076923075,-0.05083333333333335,40.821218,-73.85593,"[40.821218,-73.85593]"
02M534,2.0,2.4,2.4,0.08333333333333323,40.736416,-73.995731,"[40.736416,-73.995731]"
17K590,2.0,2.45,2.6,0.14423076923076922,40.66679,-73.951823,"[40.66679,-73.951823]"
84K355,2.5,2.625,2.375,-0.07894736842105263,40.706069,-73.962049,"[40.706069,-73.962049]"
30Q580,2.05,2.1,2.0,-0.03750000000000009,40.754975,-73.926977,"[40.754975,-73.926977]"
25Q670,2.45,2.6,2.65,0.047169811320754554,40.72528,-73.811408,"[40.72528,-73.811408]"
07X500,2.3,2.4,2.5,0.060000000000000143,40.814857,-73.912038,"[40.814857,-73.912038]"
07X223,2.3157894736842106,2.75,2.75,0.07894736842105261,40.813612,-73.920851,"[40.813612,-73.920851]"
09X413,2.05,2.25,2.4,0.10416666666666667,40.839307,-73.911366,"[40.839307,-73.911366]"
02M630,1.9,2.15,2.25,0.10000000000000003,40.759248,-73.967204,"[40.759248,-73.967204]"
30Q286,2.2,2.35,2.45,0.07142857142857136,40.770769,-73.92383,"[40.770769,-73.92383]"
07X547,2.4,2.25,2.0,-0.1625000000000001,40.821828,-73.922366,"[40.821828,-73.922366]"
19K663,2.4,2.35,2.1,-0.1309523809523809,40.665446,-73.897604,"[40.665446,-73.897604]"
05M362,2.6,2.55,2.5,-0.030000000000000072,40.810793,-73.955722,"[40.810793,-73.955722]"
08X376,2.0,2.25,2.25,0.05555555555555555,40.821218,-73.85593,"[40.821218,-73.85593]"
11X103,2.55,2.4,2.4,-0.03124999999999989,40.892198,-73.86194,"[40.892198,-73.86194]"
